name_english,name_japanese,anime_manga_titles,favorites
"Sonozaki, Shion",(園崎 詩音),"['Higurashi no Naku Koro ni', 'Higurashi no Naku Koro ni Kai', 'Higurashi no Naku Koro ni Kira', 'Higurashi no Naku Koro ni: Watanagashi-hen', 'Higurashi no Naku Koro ni Kai: Meakashi-hen', 'Higurashi no Naku Koro ni: Yoigoshi-hen']",2483
Watashi,(私),"['Yojouhan Shinwa Taikei', 'Yojouhan Shinwa Taikei Specials', 'Yojouhan Time Machine Blues']",2481
"Brando, Diego",(ディエゴ・ブランド),['JoJo no Kimyou na Bouken Part 7: Steel Ball Run'],2480
"Haibara, Ai",(灰原 哀),"['Meitantei Conan', 'Meitantei Conan Movie 05: Tengoku e no Countdown', 'Meitantei Conan Movie 06: Baker Street no Bourei', 'Meitantei Conan', 'Detective Conan Tokubetsu-hen', 'Meitantei Conan']",2477
Gabimaru,(画眉丸),"['Jigokuraku', 'Jigokuraku 2nd Season', 'Jigokuraku', 'Jigokuraku Tokubetsu-hen: Mokke no Mori']",2474
"Amajiki, Tamaki",(天喰 環),"['Boku no Hero Academia 3rd Season', 'Boku no Hero Academia 4th Season', 'Boku no Hero Academia 5th Season', 'Boku no Hero Academia']",2472
"Uenoyama, Ritsuka",(上ノ山 立夏),"['Given', 'Given Movie 1', 'Given: Uragawa no Sonzai', 'Given']",2472
"Xie, Lian",(谢 怜),"['Tian Guan Cifu', 'Tian Guan Cifu Special', 'Tian Guan Cifu Er', 'Tian Guan Cifu', 'Tian Guan Cifu']",2469
"Haninozuka, Mitsukuni",(埴之塚 光邦),"['Ouran Koukou Host Club', 'Ouran Koukou Host Club', 'Ouran Koukou Host Club', 'Ouran Koukou Host Club Short Special']",2463
"Minami, Kotori",(南 ことり),"['Bokura no Live Kimi to no Life', 'Snow Halation', 'Natsu-iro Egao de 1, 2, Jump!', 'Love Live!', 'Love Live! School Idol Diary', 'Love Live! School Idol Diary']",2460
Reki,(礫),"['Haibane Renmei', 'Old Home no Haibane-tachi', 'Old Home no Haibane-tachi: Bangai-hen']",2453
Togame,(とがめ),"['Katanagatari', 'Katanagatari', 'Seishun Kijinden! Nishio Gakuen']",2451
Lancer,(ランサー),"['Carnival Phantasm EX Season', 'Fate/stay night', 'Fate/stay night Movie: Unlimited Blade Works', 'Fate/stay night', 'Fate/stay night: Comic Battle', 'All Around Type-Moon']",2451
"Azusagawa, Kaede",(梓川 花楓),"['Seishun Buta Yarou wa Odekake Sister no Yume wo Minai', 'Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', 'Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai', 'Seishun Buta Yarou Series', 'Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', 'Seishun Buta Yarou wa Petit Devil Kouhai no Yume wo Minai']",2446
"Nishimiya, Yuzuru",(西宮 結絃),"['Koe no Katachi', 'Koe no Katachi']",2439
"Konno, Yuuki",(紺野 木綿季),"['Sword Art Online II', 'Sword Art Online II: Sword Art Offline II', 'Sword Art Online: Alicization - War of Underworld 2nd Season', ""Sword Art Online: Mother's Rosario"", 'Sword Art Online']",2434
Twenty-Fifth Bam,(스물다섯번째 밤 / 夜),"['Kami no Tou', 'Kami no Tou 2nd Season', 'Tower of God']",2428
Bishamon,(毘沙門),"['Noragami Aragoto', 'Noragami', 'Noragami OVA', 'Noragami']",2418
"Hiratsuka, Shizuka",(平塚 静),"['Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.: Monologue']",2414
"Vessalius, Oz",(オズ＝ベザリウス),"['Pandora Hearts', 'Pandora Hearts Omake', 'Pandora Hearts', 'Pandora Hearts: Caucus Race', 'Fushigi no Kuni no Gilbert']",2410
"Nijimura, Okuyasu",(虹村 億泰),"['JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', 'Kishibe Rohan wa Ugokanai', 'JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', ""The Book: JoJo's Bizarre Adventure 4th Another Day"", 'Kishibe Rohan Louvre e Iku']",2407
"Sawamura, Eijun",(沢村 栄純),"['Diamond no Ace', 'Diamond no Ace: Second Season', 'Diamond no Ace: Second Season OVA', 'Diamond no Ace', 'Diamond no Brass!!: Seidou Koukou Suisougaku-bu', 'Diamond no Ace Act II']",2404
"Argyle, Felix",(フェリックス・アーガイル / フェリス),"['Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season', 'Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season', 'Re:Zero kara Hajimeru Isekai Seikatsu Ex', 'Re:Zero kara Hajimeru Isekai Seikatsu', 'Re:Zero kara Hajimeru Isekai Seikatsu: Dai-3 Shou - Truth of Zero']",2402
Aka no Saber,(赤のセイバー),"['Fate/stay night', 'Fate/Apocrypha', 'Fate/Grand Order', 'Fate/Apocrypha', 'Type-Moon Gakuen: Chibichuki!', 'Fate/Apocrypha']",2401
"Chidori, Kaname",(千鳥 かなめ),"['Full Metal Panic!', 'Full Metal Panic? Fumoffu', 'Full Metal Panic! The Second Raid', 'Full Metal Panic!', 'Full Metal Panic! Sigma', 'Ikinari! Full Metal Panic!']",2400
"Shirai, Kuroko",(白井 黒子),"['Toaru Kagaku no Railgun', 'Toaru Kagaku no Railgun: Motto Marutto Railgun', 'Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desu kara', 'Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun', 'Toaru Kagaku no Railgun SS', 'Toaru Kagaku no Railgun SS3']",2399
"Archiviste, Noé",(ノエ・アルシヴェスト),"['Vanitas no Karte', 'Vanitas no Karte Part 2', 'Vanitas no Karte: En Route Pour le Gévaudan', 'Vanitas no Karte']",2396
Viral,(ヴィラル),"['Tengen Toppa Gurren Lagann: Parallel Works', 'Tengen Toppa Gurren Lagann Movie Zenyasai: Viral no Amai Yume', 'Tengen Toppa Gurren Lagann', 'Tengen Toppa Gurren Lagann', 'Tengen Toppa Gurren Lagann: Gurren Gakuen-hen', 'Tengen Toppa Gurren Lagann: Rasen Shounentan']",2395
"Bloodfallen, Shalltear",(シャルティア・ブラッドフォールン),"['Overlord', 'Overlord: Ple Ple Pleiades - Nazarick Saidai no Kiki', 'Overlord Movie 1: Fushisha no Ou', 'Overlord', 'Overlord']",2391
Noi,(能井),"['Dorohedoro', 'Dorohedoro: Ma no Omake', 'Dorohedoro']",2385
Pino,(ピノ),"['Ergo Proxy', 'Ergo Proxy: Centzon Hitchers and Undertaker']",2374
"Saten, Ruiko",(佐天 涙子),"['Toaru Kagaku no Railgun', 'Toaru Kagaku no Railgun: Motto Marutto Railgun', 'Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desu kara', 'Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun', 'Toaru Kagaku no Railgun SS', 'Shinyaku Toaru Majutsu no Index']",2373
Siesta,(シエスタ),"['Tantei wa Mou, Shindeiru.', 'Tantei wa Mou, Shindeiru. Season 2', 'Tantei wa Mou, Shindeiru.', 'Tantei wa Mou, Shindeiru.', 'Tantei wa Mou, Shindeiru.: The Lost Memory']",2372
Ymir,(ユミル),"['Shingeki no Kyojin', 'Shingeki no Kyojin Picture Drama', 'Shingeki no Kyojin Movie 1: Guren no Yumiya', 'Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou', 'Sungeki no Kyojin']",2371
"Hekmatyar, Koko",(ココ・ヘクマティアル),"['Jormungand', 'Jormungand: Perfect Order', 'Jormungand']",2371
"Yamada, Anna",(山田 杏奈),"['Boku no Kokoro no Yabai Yatsu', 'Boku no Kokoro no Yabai Yatsu 2nd Season', 'Boku no Kokoro no Yabai Yatsu: Twi-Yaba', 'Boku no Kokoro no Yabai Yatsu']",2364
"Tanaka, Ryuunosuke",(田中 龍之介),"['Haikyuu!!', 'Haikyuu!! Lev Genzan!', 'Haikyuu!! Second Season', 'Haikyuu!!', 'Haikyuu!!']",2362
"Fuwa, Aika",(不破 愛花),"['Zetsuen no Tempest', 'Zetsuen no Tempest']",2360
"Kida, Masaomi",(紀田正臣),"['Durarara!!', 'Durarara!!x2 Ketsu', 'Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou', 'Durarara!!', 'Durarara!!', 'Durarara!! Saika-hen']",2359
"Ichinose, Kotomi",(一ノ瀬 ことみ),"['Clannad', 'Clannad Movie', 'Clannad: After Story', 'Clannad', 'Clannad 4-koma Manga Gekijyou', 'Clannad: Hikaru Mimamoru Sakamichi de']",2359
"Ghirga, Narancia",(ナランチャ・ギルガ),"['JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps', 'JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken II: Golden Heart/Golden Ring', 'Jorge Joestar']",2358
"Tobiichi, Origami",(鳶一 折紙),"['Date A Live', 'Date A Live: Date to Date', 'Date A Live II', 'Date A Live', 'Date A Origami', 'Date A Party']",2354
"Momozono, Nanami",(桃園 奈々生),"['Kamisama Hajimemashita', 'Kamisama Hajimemashita OVA', 'Kamisama Hajimemashita◎', 'Kamisama Hajimemashita', 'Kamisama Hajimemashita: Kurama-yama Yawa', 'Kamisama Hajimemashita: Sonogo no Futari']",2350
"Watanuki, Kimihiro",(四月一日 君尋),"['xxxHOLiC Movie: Manatsu no Yoru no Yume', 'xxxHOLiC', 'xxxHOLiC◆Kei', 'xxxHOLiC', 'Clamp in Wonderland EX', 'xxxHOLiC: AnotherHOLiC']",2349
Lubbock,(ラバック),"['AkaKill! Gekijou', 'Akame ga Kill!', 'Akame ga Kill!', 'Akame ga Kill! Zero', 'Akame ga Kill! 1.5']",2344
T.K.,,"['Angel Beats! Specials', 'Angel Beats!', 'Kaginado Season 2', ""Angel Beats!: Heaven's Door"", 'Angel Beats!: The Last Operation']",2344
"Sasaki, Haise",(佐々木 琲世),"['Tokyo Ghoul:re', 'Tokyo Ghoul:re 2nd Season', 'Tokyo Ghoul:re']",2343
"Endo, Kenji",(遠藤 健児),"['20th Century Boys', '21st Century Boys']",2327
"Kim, Dokja",(김 독자),"[""Omniscient Reader's Viewpoint"", ""Omniscient Reader's Viewpoint""]",2322
"Dunois, Charlotte",(シャルロット デュノア),"['IS: Infinite Stratos', 'IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou', 'IS: Infinite Stratos 2', 'IS: Infinite Stratos', 'IS: Infinite Stratos', 'IS: Infinite Stratos - Koushiki Anthology Comic']",2322
"Li, Shaoran",(李 小狼),"['Cardcaptor Sakura', 'Cardcaptor Sakura Movie 1', 'Cardcaptor Sakura Movie 2: Fuuin Sareta Card', 'Cardcaptor Sakura', 'Cardcaptor Sakura Extras', 'Cardcaptor Sakura: Clear Card-hen']",2313
Ein,(アイン),"['Cowboy Bebop: Ein no Natsuyasumi', 'Cowboy Bebop', 'Cowboy Bebop: Tengoku no Tobira', 'Cowboy Bebop', 'Shooting Star Bebop: Cowboy Bebop']",2311
"Morokuzu, Takehito",(諸葛 岳人),"['Prison School', 'Prison School: Mad Wax', 'Prison School', 'Fukukaichou Ganbaru.']",2304
"Tanaka, Asuka",(田中 あすか),"['Hibike! Euphonium 2', 'Hibike! Euphonium Movie 2: Todoketai Melody', 'Hibike! Euphonium', 'Hibike! Euphonium', 'Hibike! Euphonium: Kitauji Koukou Suisougaku-bu e Youkoso', 'Hibike! Euphonium: Kitauji Koukou Suisougaku-bu no Ichiban Atsui Natsu']",2302
"Hoshino, Ruby",(星野 瑠美衣),"['""Oshi no Ko""', 'Idol', '""Oshi no Ko"" Season 2', '""Oshi no Ko""']",2299
"Yonsa, Balsa",(バルサ),"['Seirei no Moribito', 'Seirei no Moribito', 'Moribito Series', 'Yami no Moribito']",2292
"Suwa, Hiroto",(須和 弘人),"['Orange', 'Orange: Mirai', 'Orange']",2290
"Ogiwara, Sayu",(荻原 沙優),"['Hige wo Soru. Soshite Joshikousei wo Hirou.', 'Hige wo Soru. Soshite Joshikousei wo Hirou.', 'Hige wo Soru. Soshite Joshikousei wo Hirou.', 'Hige wo Soru. Soshite Joshikousei wo Hirou.: Each Stories']",2289
"Trancy, Alois",(アロイス・トランシー),"['Kuroshitsuji II', 'Kuroshitsuji II Specials']",2283
Gally,(ガリィ),"['Gunnm', 'Gunnm 3D Special', 'Gunnm', 'Gunnm: Last Order', 'Gunnm Gaiden']",2283
Calcifer,(カルシファー),['Howl no Ugoku Shiro'],2278
"Hoshino, Yutaka",(星野 裕),"['Ping Pong the Animation', 'Ping Pong']",2265
"Tokoyami, Fumikage",(常闇 踏陰),"['Boku no Hero Academia', 'Boku no Hero Academia 2nd Season', 'Boku no Hero Academia: Sukue! Kyuujo Kunren!', 'Boku no Hero Academia', 'Boku no Hero Academia Smash!', 'Boku no Hero Academia: Team Up Mission']",2264
"Testarossa, Fate",(フェイト・テスタロッサ),"['Mahou Shoujo Lyrical Nanoha', ""Mahou Shoujo Lyrical Nanoha A's"", 'Mahou Shoujo Lyrical Nanoha StrikerS', 'Mahou Shoujo Lyrical Nanoha StrikerS THE COMICS', ""Mahou Shoujo Lyrical Nanoha A's"", 'Mahou Shoujo Lyrical Nanoha: Movie 1st the Comics']",2262
Hiro,(ヒロ),"['Darling in the FranXX', 'Darling in the FranXX', 'Darling in the FranXX!']",2260
"Brunestud, Arcueid",(アルクェイド・ブリュンスタッド),"['Shingetsutan Tsukihime', 'Carnival Phantasm', 'Carnival Phantasm EX Season', 'Shingetsutan Tsukihime', 'Melty Blood', 'Take Moon']",2254
Angel Devil,(天使の悪魔),"['Chainsaw Man', 'Chainsaw Man']",2250
"Takarada, Rikka",(宝多 六花),"['SSSS.Gridman', 'Gridman Universe', 'SSSS.Gridman Movie', 'SSSS.Gridman', 'SSSS.Gridman: Shinseiki Chuugakusei no Shitsuji Café']",2249
"Watanabe, Akari",(渡辺 星),"['Fuufu Ijou, Koibito Miman.', 'Fuufu Ijou, Koibito Miman.']",2247
"Mori, Buntarou",(森 文太郎),['Kokou no Hito'],2242
Satou,(佐藤),"['Ajin Part 2 OVA', 'Ajin Part 1: Shoudou', 'Ajin Part 2: Shoutotsu', 'Ajin']",2240
"Nanba, Mutta",(南波六太),"['Uchuu Kyoudai', 'Uchuu Kyoudai: Itten no Hikari', 'Uchuu Kyoudai: Number Zero', 'Uchuu Kyoudai']",2235
"Echizen, Ryouma",(越前  リョーマ),"['Tennis no Oujisama', 'Tennis no Oujisama Movie 1: Futari no Samurai - The First Game', 'Tennis no Oujisama: Zenkoku Taikai-hen', 'Tennis no Oujisama', 'Houkago no Oujisama', 'Shin Tennis no Oujisama']",2235
"Tsutsukakushi, Tsukiko",(筒隠 月子),"['Hentai Ouji to Warawanai Neko.', 'Hentai Ouji to Warawanai Neko.: Henneko BBS', 'Hentai Ouji to Warawanai Neko.', 'Hentai Ouji to Warawanai Neko.']",2220
King,(キング),"['Nanatsu no Taizai', 'Nanatsu no Taizai OVA', 'Nanatsu no Taizai: Seisen no Shirushi', 'Nanatsu no Taizai', 'Fairy Tail x Nanatsu no Taizai Christmas Special', 'Mayoe! Nanatsu no Taizai Gakuen!']",2213
"Ushiromiya, Battler",(右代宮 戦人),"['Umineko no Naku Koro ni', 'Umineko no Naku Koro ni Specials', 'Umineko no Naku Koro ni - Episode 1: Legend of the Golden Witch', 'Umineko no Naku Koro ni - Episode 2: Turn of the Golden Witch', 'Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch']",2208
"Lan, Wangji",(蓝 忘机),"['Mo Dao Zu Shi', 'Mo Dao Zu Shi: Xian Yun Pian', 'Mo Dao Zu Shi: Wanjie Pian', 'Mo Dao Zu Shi', 'Mo Dao Zu Shi']",2207
"Kafuu, Chino",(香風 智乃),"['Gochuumon wa Usagi desu ka?', 'Gochuumon wa Usagi desu ka??', 'Gochuumon wa Usagi desu ka?? Dear My Sister', 'Gochuumon wa Usagi desu ka?', 'Gochuumon wa Usagi desu ka? Anthology Comic']",2202
"Dreyar, Laxus",(ラクサス・ドレアー),"['Fairy Tail', 'Fairy Tail OVA', 'Fairy Tail Movie 1: Houou no Miko', 'Fairy Tail Gaiden', 'Fairy Tail', 'Tale of Fairy Tail: Ice Trail']",2201
"Tadano, Hitohito",(只野 仁人),"['Komi-san wa, Comyushou desu.', 'Komi-san wa, Comyushou desu. 2nd Season', 'Komi-san wa Comyushou desu.', 'Komi-san wa, Comyushou desu.']",2200
"Jakuzure, Nonon",(蛇崩 乃音),"['Kill la Kill', 'Kill la Kill Specials', 'Kill la Kill']",2184
"Tepes, Krul",(クルル・ツェペシ),"['Owari no Seraph', 'Owari no Seraph: Nagoya Kessen-hen', 'Owari no Seraph: The Beginning of the End', 'Owari no Seraph', 'Owari no Seraph: Ichinose Guren, 16-sai no Catastrophe']",2183
"Sonozaki, Mion",(園崎 魅音),"['Higurashi no Naku Koro ni', 'Higurashi no Naku Koro ni Kai', 'Higurashi no Naku Koro ni Special: Nekogoroshi-hen', 'Higurashi no Naku Koro ni: Onikakushi-hen', 'Higurashi no Naku Koro ni: Watanagashi-hen', 'Higurashi no Naku Koro ni: Tatarigoroshi-hen']",2182
"Yagami, Kazuma",(八神 和麻),"['Kaze no Stigma', 'Kaze no Stigma: Kouen no Miko', 'Kaze no Stigma']",2181
"Mitsuba, Sousuke",(三葉 惣助),"['Jibaku Shounen Hanako-kun', 'Houkago Shounen Hanako-kun', 'Jibaku Shounen Hanako-kun', 'Houkago Shounen Hanako-kun']",2179
"Might, Guy",(マイト・ガイ),"['Naruto SD: Rock Lee no Seishun Full-Power Ninden', 'Naruto', 'Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!', 'Rock Lee no Seishun Full-Power Ninden', 'Naruto Shinden Series', 'Naruto: Konoha Shinden - Yukemuri Ninpouchou']",2178
Yuno,(ユノ),"['Black Clover: Jump Festa 2016 Special', 'Black Clover', 'Black Clover: Jump Festa 2018 Special', 'Black Clover', 'Black Clover: Abareushi no Sho', 'Black Clover: Yuno no Sho']",2176
"Kaizuka, Inaho",(界塚 伊奈帆),"['Aldnoah.Zero', 'Aldnoah.Zero Part 2', 'Aldnoah.Zero Extra Archives', 'Aldnoah.Zero', 'Aldnoah.Zero Anthology Comic']",2174
"Hanagaki, Takemichi",(花垣 武道),"['Tokyo Revengers', 'Chibi Revenger', 'Tokyo Revengers: Seiya Kessen-hen', 'Tokyo卍Revengers']",2170
"Amamiya, Ren",(雨宮 蓮),"['Persona 5 the Animation: The Day Breakers', 'Persona 5 the Animation', 'Persona 5 the Animation TV Specials', 'Persona 5', 'Persona 5: Mementos Mission']",2166
Yue,(ユエ),"['Arifureta Shokugyou de Sekai Saikyou', 'Arifureta Shokugyou de Sekai Saikyou Specials', 'Arifureta Shokugyou de Sekai Saikyou Recap', 'Arifureta Shokugyou de Sekai Saikyou', 'Arifureta Shokugyou de Sekai Saikyou', 'Arifureta Nichijou de Sekai Saikyou']",2165
"Souma, Momiji",(草摩 紅葉),"['Fruits Basket', 'Fruits Basket 1st Season', 'Fruits Basket 2nd Season', 'Fruits Basket']",2156
"Pheles, Mephisto",(メフィスト・フェレス),"['Ao no Exorcist: Ura Ex', 'Ao no Exorcist', 'Ao no Exorcist: Kuro no Iede', 'Ao no Exorcist', 'Ao no Exorcist', 'Salaryman Exorcist: Okumura Yukio no Aishuu']",2152
"Kaburagi, Kotetsu T.",(鏑木・Ｔ・虎徹/ ワイルドタイガー),"['Tiger & Bunny', 'Tiger & Bunny Pilot', 'Tiger & Bunny Movie 1: The Beginning', 'Tiger & Bunny', 'Tiger & Bunny Comic Anthology', 'Tiger & Bunny']",2149
"Sonoda, Umi",(園田 海未),"['Bokura no Live Kimi to no Life', 'Snow Halation', 'Natsu-iro Egao de 1, 2, Jump!', 'Love Live!', 'Love Live! School Idol Diary', 'Love Live! School Idol Diary']",2146
"Black, Jet",(ジェット・ブラック),"['Cowboy Bebop', 'Cowboy Bebop: Tengoku no Tobira', 'Cowboy Bebop: Yose Atsume Blues', 'Cowboy Bebop', 'Shooting Star Bebop: Cowboy Bebop']",2146
Ruler,(ルーラー),"['Fate/Apocrypha', 'Fate/Apocrypha Recaps', 'Fate/Grand Order', 'Fate/Apocrypha', 'Fate/Apocrypha', 'Fate/Grand Order: Comic à la Carte']",2141
"Honda, Gorou",(茂野 吾郎),"['Major S2', 'Major S1', 'Major S3', 'Major', 'Major 2nd']",2137
"Yashiro, Nene",(八尋 寧々),"['Jibaku Shounen Hanako-kun', 'Jibaku Shounen Hanako-kun 2nd Season', 'Houkago Shounen Hanako-kun', 'Jibaku Shounen Hanako-kun', 'Houkago Shounen Hanako-kun', 'Jibaku Shounen Hanako-kun 0']",2136
Akaza,(猗窩座),"['Kimetsu no Yaiba Movie: Mugen Ressha-hen', 'Kimetsu no Yaiba: Yuukaku-hen', 'Kimetsu no Yaiba: Mugen Ressha-hen', 'Kimetsu no Yaiba']",2134
Pen Pen,(ペンペン),"['Shinseiki Evangelion', 'Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni', 'Evangelion Movie 1: Jo', 'Shinseiki Evangelion', 'Shinseiki Evangelion: Comic Tribute', 'Shinseiki Evangelion: Pikopiko Chuugakusei Densetsu']",2131
"Midorima, Shintarou",(緑間 真太郎),"['Kuroko no Basket: Oshaberi Demo Shimasen ka', 'Kuroko no Basket: Saikou no Present desu', 'Kuroko no Basket Movie 4: Last Game', 'Kuroko no Basket: Extra Game', 'Kuroko no Basket: Replace Plus', 'Kuroko no Basket']",2130
"Bradley, King",(キング・ブラッドレイ),"['Fullmetal Alchemist', 'Fullmetal Alchemist: Premium Collection', 'Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist']",2130
"Hino, Rei",(火野 レイ),"['Bishoujo Senshi Sailor Moon', 'Bishoujo Senshi Sailor Moon R: The Movie', 'Bishoujo Senshi Sailor Moon S', 'Bishoujo Senshi Sailor Moon', 'Code Name wa Sailor V']",2124
"Itsuka, Kotori",(五河 琴里),"['Date A Live', 'Date A Live: Date to Date', 'Date A Live II', 'Date A Live', 'Date A Live', 'Date A Live: Tooka Dead End']",2122
"Oda, Sakunosuke",(織田 作之助),"['Bungou Stray Dogs 2nd Season', 'Bungou Stray Dogs: Dead Apple', 'Bungou Stray Dogs Wan!', 'Bungou Stray Dogs', 'Bungou Stray Dogs', 'Bungou Stray Dogs Wan!']",2119
Kite,(カイト),"['Hunter x Hunter', 'Hunter x Hunter: Greed Island Final', 'Hunter x Hunter Pilot', 'Hunter x Hunter']",2113
"Nandaba, Naota",(ナンダバ・ナオ太),"['FLCL', 'FLCL', 'FLCL']",2111
"Kurosawa, Kakeru",(黒沢翔),"['Onanie Master Kurosawa', 'Onanie Master Kurosawa: After the Juvenile']",2110
Tobi,(トビ),"['Naruto: Shippuuden', 'Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono', 'Naruto x UT', 'Naruto', 'Rock Lee no Seishun Full-Power Ninden', 'Road to Ninja: Naruto the Movie']",2110
"Tsugumi, Seishirou",(鶫 誠士郎),"['Nisekoi', 'Nisekoi OVA', 'Nisekoi:', 'Nisekoi', 'Ore Koi!!']",2108
"Hazuki, Nagisa",(葉月 渚),"['Free!', 'Free!: FrFr - Short Movie', 'Free! Eternal Summer', 'High☆Speed!', 'High☆Speed!']",2104
Reg,(レグ),"['Made in Abyss', 'Made in Abyss Movie 3: Fukaki Tamashii no Reimei', 'Made in Abyss Movie 1: Tabidachi no Yoake', 'Made in Abyss', 'Made in Abyss: Koushiki Anthology']",2101
"Shinonome, Hakase",(はかせ),"['Nichijou: Nichijou no 0-wa', 'Nichijou', 'Nichijou: Original Jikai Yokoku', 'Nichijou', 'Helvetica Standard']",2099
"Nanjou, Sachi",(南条 幸),['Oyasumi Punpun'],2098
Yui,(ユイ),"['Sword Art Online: Sword Art Offline - Extra Edition', 'Sword Art Online Movie: Ordinal Scale - Sword Art Offline', 'Sword Art Online', 'Sword Art Online: Fairy Dance', 'Sword Art Online: Celeste no Yousei', 'Sword Art Online: Kirito no Aincrad Night']",2091
"Takagi, Yasushi",(高木 泰士),"['Nana', 'Nana']",2091
"Kita, Ikuyo",(喜多 郁代),"['Bocchi the Rock!', 'Bocchi the Rock! Movie', 'Bocchi the Rock!']",2085
"Kurosaki, Tasuku",(黒崎 祐),['Dengeki Daisy'],2085
"Ikishima, Midari",(生志摩 妄),"['Kakegurui', 'Kakegurui××', 'Kakegurui Twin', 'Kakegurui Midari', 'Kakegurui', 'Kakegurui Twin']",2084
Togata,(トガタ),['Fire Punch'],2078
"Hiraga, Saito",(平賀 才人),"['Zero no Tsukaima', 'Zero no Tsukaima: Futatsuki no Kishi', 'Zero no Tsukaima: Princesses no Rondo', 'Zero no Tsukaima', 'Zero no Tsukaima', 'Zero no Tsukaima Gaiden: Tabitha no Bouken']",2077
Friend,(ともだち),"['20th Century Boys', '21st Century Boys']",2067
Yamato,(ヤマト),"['One Piece: Dai Tokushuu! Momonosuke no Mei Shogun e no Michi', 'One Piece', 'One Piece: Dai Tannou Kikaku! ""Shi no Gekai"" Trafalgar Law', 'One Piece']",2062
"Boyle, Arthur",(アーサー・ボイル),"['Enen no Shouboutai', 'Enen no Shouboutai: Ni no Shou', 'Enen no Shouboutai Mini Anime', 'Enen no Shouboutai']",2056
"Mitsuya, Takashi",(三ツ谷 隆),"['Tokyo Revengers', 'Tokyo Revengers: Seiya Kessen-hen', 'Tokyo Revengers: Tenjiku-hen', 'Tokyo卍Revengers', 'Tokyo卍Revengers: Baji Keisuke kara no Tegami']",2047
"Lion, Ryuu",(リュー・リオン),"['Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka: Familia Chronicle - Episode Ryuu', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka: Familia Chronicle - Episode Ryuu', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka']",2047
"Seiei, Setsuna F.",(刹那・F・セイエイ),"['Kidou Senshi Gundam 00', 'Kidou Senshi Gundam 00 Second Season', 'Kidou Senshi Gundam 00: Tenshi-tachi no Kiseki', 'Kidou Senshi Gundam 00', 'Kidou Senshi Gundam 00: Aoi Kioku', 'Kidou Senshi Gundam 00']",2045
Tsunade,(綱手),"['Naruto', 'Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!', 'Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen Taikai Kaisai!!', 'Naruto', 'Rock Lee no Seishun Full-Power Ninden', 'Naruto Gaiden: Uzu no Naka no Tsumujikaze']",2035
"Mishima, Hitomi",(三嶋 瞳),"['Hinamatsuri (TV)', 'Hinamatsuri']",2033
"Jin, Mo-Ri",(진 모리),"['The God of High School', 'The God of High School']",2032
Sasori,(サソリ),"['Naruto: Shippuuden', 'Naruto SD: Rock Lee no Seishun Full-Power Ninden', 'Naruto: Shippuuden Movie 6 - Road to Ninja', 'Naruto', 'Rock Lee no Seishun Full-Power Ninden']",2028
